Show.Name,Show.Theatre
Lucky Guy,1
Lysistrata Jones,1
Ma Rainey'S Black Bottom '03,1
Macbeth '13,1
Macbeth '13 (Lct),1
Macbeth 00,1
Macbeth 08,1
Machinal,1
Magic/Bird,1
Major Barbara,1
Mamma Mia!,3
Man And Boy,1
Man Of La Mancha 02,2
Mandy Patinkin,1
Mandy Patinkin In Concert: Mamaloshen,1
Manilow On Broadway,1
Marc Salem'S Mind Games,1
Marie Christine,1
Mark Twain Tonight!,1
Marlene,1
Martin Short: Fame Becomes Me,1
Mary Poppins,1
Mary Stuart,1
Master Class,1
Master Class '11,1
Master Harold…And The Boys,1
Match,1
Matilda,1
Matters Of The Heart,1
Mauritius,1
Medea 02,1
Memphis,1
"Men Are From Mars, Women Are From Venus",1
Metamorphoses,1
Mike Tyson: Undisputed Truth,1
Million Dollar Quartet,1
Minnelli On Minnelli,1
Misery,1
Miss Saigon,1
Monty Python'S Spamalot,1
Moon Over Buffalo,1
More To Love: A Big Fat Comedy,1
Morning'S At Seven,1
"Morning, Noon And Night",1
Mothers And Sons,1
Motown The Musical,1
Motown The Musical 2016,1
Movin' Out,1
Mrs. Warren'S Profession,1
Never Gonna Dance,1
Newsies,1
Next Fall,1
Next To Normal,1
Nice Work If You Can Get It,1
Night Must Fall,2
Nine,1
No Man'S Land/Waiting For Godot,1
Noises Off '01,1
Noises Off 2016,1
Not About Nightingales,1
November,1
Of Mice And Men,1
Oklahoma!,1
Old Acquaintance,1
Old Times,1
Oldest Living Confederate Widow Tells All,1
Oleanna,1
On A Clear Day You Can See Forever,1
On Golden Pond,1
On The Town,1
On The Town 2014,1
On The Twentieth Century,1
On Your Feet!,1
Once,1
Once Upon A Mattress,1
One Flew Over The Cuckoo'S Nest,1
"One Man, Two Guvnors",1
One Mo' Time,1
Orphans,1
Other Desert Cities,1
Our Mother'S Brief Affair,1
Our Town 02,1
Outside Mullingar,1
Pacific Overtures,1
Pal Joey,1
Parade,1
Paramour,1
Passing Strange,1
Patti Labelle On Broadway,1
Patti Lupone On Broadway,1
Penn & Teller On Broadway,1
Peter And The Starcatcher,1
Peter Pan 98,2
Picnic '12,1
Pippin,1
Play On!,1
Porgy And Bess '11,1
Prelude To A Kiss 2007,1
Present Laughter,1
Present Laughter '10,1
Primo,1
Priscilla Queen Of The Desert,1
Private Lives '11,1
Private Lives 02,1
"Promises, Promises",1
Proof,1
Proposals,1
Prune Danish,1
Prymate,1
Putting It Together,1
Pygmalion 07,1
Qed,1
Rabbit Hole,1
Race,1
Radio Golf,1
Ragtime,1
Ragtime '09,1
Rain: A Tribute To The Beatles On Broadway,2
Reasons To Be Pretty,1
Reckless,1
Red,1
Relatively Speaking,1
Rent,1
Ring Of Fire,1
Ring Round The Moon,1
Riverdance,1
Rock 'N' Roll,1
Rock Of Ages,2
Rocky,1
Romeo And Juliet,1
Rose,1
Running On Empty,1
Sacrilege,1
Salome,1
Saturday Night Fever,1
"Say Goodnight, Gracie",1
Scandalous,1
School For Scandal,1
School Of Rock,1
Seascape,1
Seminar,1
Seussical,1
Seven Guitars,1
Sex And Longing,1
Sexaholix '01,1
Sexaholix '03,1
Shatner'S World: We Just Live In It,1
She Loves Me 2016,1
Shining City,1
Show Boat,1
Shrek The Musical,1
Shuffle Along,1
Side Man,2
Side Show,1
Side Show 2014,1
Sight Unseen,1
Sister Act,1
Six Dance Lessons In Six Weeks,1
Sixteen Wounded,1
Skylight,1
Skylight 2015,1
Slava'S Snowshow,1
Sly Fox,1
