"SUPPORT_FUNCTION_SK","SUPPORT_FUNC_NAME","RESOLVER_LEVEL"
"569,484,641",Zero Client - Performance issues,2
"569,270,610",Other - Not working /Not Starting,2
"414,052,028",Access,3
"569,385,321",Other Login - Not working /Not Starting,2
"569,370,352",Other Login - Update/Modify,2
"569,458,121",Email - Access Issues,2
"215,083,885",Break Fix,3
"569,424,572",Repair,2
"569,319,015",VCC - General Inquiries / General Troubleshooting,2
"638,173,494",CyberArk - Password Issues,1
"572,694,952",Error Message,2
"215,137,248",Error Message,3
"571,390,756",Configure,2
"571,441,039",Configuration,2
"569,293,547",O365 - Update/Modify Access,2
"569,473,653",Windows - Create / New Access,2
"569,417,259",O365 - Permission Issues,1
"569,257,488",KB and Mice - Error Message,1
"569,373,343",Windows - Permission Issues,2
"215,207,061",How to,1
"569,247,507",Performance issues,2
"569,261,815",Replacement,2
"215,127,394",How to,1
"569,334,807",Windows - Sync,2
"572,563,856",Configuration - ECW,2
"569,326,672",Not working /Not Starting,2
"569,480,749",Monitors - Replacement,2
"569,268,858",Replacement,2
"569,434,900",VCC - How To Use,2
"215,030,527",How to,1
"592,898,110",Replace,2
"569,309,097",Access to Resources - Emergency Termination,2
"569,395,677",General Inquiries / General Troubleshooting,1
"569,324,479",Thin Clients - Performance issues,2
"569,255,098",Ghost Call,1
"569,361,340",VDI - Application Freezing / Not responding,2
"569,381,099",General Inquiries / General Troubleshooting,1
"215,017,395",Break Fix,3
"385,074,454",Access issues,0
"569,481,199",Genesys - Error Message,3
"572,687,771",Account MAC,2
"569,478,511",O365 - Not working /Not Starting,1
"215,150,528",Configuration,3
"215,180,574",How to,1
"569,242,345",VPN - General Inquiries / General Troubleshooting,2
"572,649,035",Account MAC,2
"215,050,385",Configuration,3
"569,272,812",General Inquiries / General Troubleshooting,1
"571,301,725",Configuration,2
"569,416,488",Other Login - Configuration,2
"615,604,753",Update/Modify Rights,1
"216,337,899",Degraded Performance,3
"569,424,162",Zero Client - Internet Connectivity,2
"627,930,495",Install,1
"569,435,305",Genesys - Update/Modify,3
"571,456,467",Windows,2
"412,084,640",How to,1
"333,116,191",Cabeling,2
"569,254,745",Mobile Phone - Connectivity Issues,3
"569,292,823",DataDog - How To Access,2
"571,272,590",Configuration,2
"412,219,014",Generic Mailbox (New/Change/Delete),1
"572,702,785",How to,2
"569,323,559",Adobe Suite - Application Freezing / Not responding,1
"636,072,490",How to,3
"215,097,311",How to,1
"572,695,229",Error Message,2
"569,393,147",General Inquiries / General Troubleshooting,1
"571,371,518",MFA Prompting at Location,2
"569,295,949",VCC - Error Message,2
"571,280,206",Ring Central How to,2
"569,339,437",How To Access,1
"571,323,435",Configuration,2
"592,882,629",Configuration,2
"569,385,854",Create / New Access,2
"216,364,713",Outage,3
"569,412,199",Performance issues,2
"576,102,819",Replace,2
"569,307,680",Zero Client - Shutting Down /Not Working,2
"569,342,689",Error Message,2
"569,385,758",Connection Error,2
"569,257,759",Email - Update/Modify,2
"627,712,462",Access,1
"569,265,495",TCO - Password Reset / Unlock Account,2
"569,247,037",Condeco - Create / New Access,2
"571,309,766",Configuration,2
"571,356,775",Configuration,2
"215,063,806",Configuration,3
"215,060,468",How to,1
"569,393,051",Other - Not supported,2
"572,633,261",Account MAC,2
"569,473,206",Performance issues,2
"215,183,887",How to,1
"569,471,010",Access to Resources - Password Reset / Unlock Account,2
"569,338,861",Performance issues,2
"569,286,014",How To Use,1
